OBEC,OKRES,KRAJ
Abertamy,"Karlovy Vary","Karlovarský kraj"
Adamov,Blansko,"Jihomoravský kraj"
Adamov,"České Budějovice","Jihočeský kraj"
Adamov,"Kutná Hora","Středočeský kraj"
Adršpach,Náchod,"Královéhradecký kraj"
Albrechtice,Karviná,"Moravskoslezský kraj"
"Albrechtice nad Orlicí","Rychnov nad Kněžnou","Královéhradecký kraj"
"Albrechtice nad Vltavou",Písek,"Jihočeský kraj"
Albrechtice,"Ústí nad Orlicí","Pardubický kraj"
"Albrechtice v Jizerských horách","Jablonec nad Nisou","Liberecký kraj"
Albrechtičky,"Nový Jičín","Moravskoslezský kraj"
Alojzov,Prostějov,"Olomoucký kraj"
"Andělská Hora",Bruntál,"Moravskoslezský kraj"
"Andělská Hora","Karlovy Vary","Karlovarský kraj"
"Anenská Studánka","Ústí nad Orlicí","Pardubický kraj"
Archlebov,Hodonín,"Jihomoravský kraj"
Arneštovice,Pelhřimov,Vysočina
Arnolec,Jihlava,Vysočina
Arnoltice,Děčín,"Ústecký kraj"
Aš,Cheb,"Karlovarský kraj"
Babice,"Hradec Králové","Královéhradecký kraj"
"Babice nad Svitavou",Brno-venkov,"Jihomoravský kraj"
Babice,Olomouc,"Olomoucký kraj"
Babice,Prachatice,"Jihočeský kraj"
Babice,Praha-východ,"Středočeský kraj"
Babice,Třebíč,Vysočina
Babice,"Uherské Hradiště","Zlínský kraj"
"Babice u Rosic",Brno-venkov,"Jihomoravský kraj"
Babylon,Domažlice,"Plzeňský kraj"
Bačalky,Jičín,"Královéhradecký kraj"
Bačetín,"Rychnov nad Kněžnou","Královéhradecký kraj"
Bačice,Třebíč,Vysočina
Bačkov,"Havlíčkův Brod",Vysočina
Bačkovice,Třebíč,Vysočina
Bácovice,Pelhřimov,Vysočina
"Bakov nad Jizerou","Mladá Boleslav","Středočeský kraj"
Baliny,"Žďár nad Sázavou",Vysočina
"Balkova Lhota",Tábor,"Jihočeský kraj"
Banín,Svitavy,"Pardubický kraj"
Báňovice,"Jindřichův Hradec","Jihočeský kraj"
Bánov,"Uherské Hradiště","Zlínský kraj"
Bantice,Znojmo,"Jihomoravský kraj"
Barchov,"Hradec Králové","Královéhradecký kraj"
Barchovice,Kolín,"Středočeský kraj"
Barchov,Pardubice,"Pardubický kraj"
"Bařice-Velké Těšany",Kroměříž,"Zlínský kraj"
Bartošovice,"Nový Jičín","Moravskoslezský kraj"
"Bartošovice v Orlických horách","Rychnov nad Kněžnou","Královéhradecký kraj"
Bartoušov,"Havlíčkův Brod",Vysočina
Baška,Frýdek-Místek,"Moravskoslezský kraj"
Bašnice,Jičín,"Královéhradecký kraj"
Bašť,Praha-východ,"Středočeský kraj"
Batelov,Jihlava,Vysočina
Batňovice,Trutnov,"Královéhradecký kraj"
Bavorov,Strakonice,"Jihočeský kraj"
Bavory,Břeclav,"Jihomoravský kraj"
Bavoryně,Beroun,"Středočeský kraj"
Bdeněves,Plzeň-sever,"Plzeňský kraj"
Bdín,Rakovník,"Středočeský kraj"
Běchary,Jičín,"Královéhradecký kraj"
Bechlín,Litoměřice,"Ústecký kraj"
Bechyně,Tábor,"Jihočeský kraj"
Bečice,"České Budějovice","Jihočeský kraj"
Bečice,Tábor,"Jihočeský kraj"
Bečov,Most,"Ústecký kraj"
"Bečov nad Teplou","Karlovy Vary","Karlovarský kraj"
Bečváry,Kolín,"Středočeský kraj"
Bedihošť,Prostějov,"Olomoucký kraj"
Bednáreček,"Jindřichův Hradec","Jihočeský kraj"
Bednárec,"Jindřichův Hradec","Jihočeský kraj"
Bedřichov,Blansko,"Jihomoravský kraj"
Bedřichov,"Jablonec nad Nisou","Liberecký kraj"
Běhařovice,Znojmo,"Jihomoravský kraj"
Běhařov,Klatovy,"Plzeňský kraj"
Bělá,"Havlíčkův Brod",Vysočina
"Bělá nad Radbuzou",Domažlice,"Plzeňský kraj"
"Bělá nad Svitavou",Svitavy,"Pardubický kraj"
Bělá,Opava,"Moravskoslezský kraj"
Bělá,Pelhřimov,Vysočina
"Bělá pod Bezdězem","Mladá Boleslav","Středočeský kraj"
"Bělá pod Pradědem",Jeseník,"Olomoucký kraj"
Bělá,Semily,"Liberecký kraj"
"Bělá u Jevíčka",Svitavy,"Pardubický kraj"
Bělčice,Strakonice,"Jihočeský kraj"
Běleč,Brno-venkov,"Jihomoravský kraj"
Běleč,Kladno,"Středočeský kraj"
"Běleč nad Orlicí","Hradec Králové","Královéhradecký kraj"
Běleč,Tábor,"Jihočeský kraj"
Bělkovice-Lašťany,Olomouc,"Olomoucký kraj"
Běloky,Kladno,"Středočeský kraj"
Bělotín,Přerov,"Olomoucký kraj"
Bělov,Zlín,"Zlínský kraj"
Bělušice,Kolín,"Středočeský kraj"
Bělušice,Most,"Ústecký kraj"
Benátky,"Hradec Králové","Královéhradecký kraj"
"Benátky nad Jizerou","Mladá Boleslav","Středočeský kraj"
Benátky,Svitavy,"Pardubický kraj"
Benecko,Semily,"Liberecký kraj"
Benešov,Benešov,"Středočeský kraj"
Benešov,Blansko,"Jihomoravský kraj"
Benešovice,Tachov,"Plzeňský kraj"
"Benešov nad Černou","Český Krumlov","Jihočeský kraj"
"Benešov nad Ploučnicí",Děčín,"Ústecký kraj"
"Benešov u Semil",Semily,"Liberecký kraj"
Benetice,Třebíč,Vysočina
Beňov,Přerov,"Olomoucký kraj"
Bernardov,"Kutná Hora","Středočeský kraj"
Bernartice,Benešov,"Středočeský kraj"
Bernartice,Jeseník,"Olomoucký kraj"
"Bernartice nad Odrou","Nový Jičín","Moravskoslezský kraj"
Bernartice,Písek,"Jihočeský kraj"
Bernartice,Trutnov,"Královéhradecký kraj"
Beroun,Beroun,"Středočeský kraj"
Beřovice,Kladno,"Středočeský kraj"
Běrunice,Nymburk,"Středočeský kraj"
Besednice,"Český Krumlov","Jihočeský kraj"
Běšiny,Klatovy,"Plzeňský kraj"
Běštín,Beroun,"Středočeský kraj"
Běstovice,"Ústí nad Orlicí","Pardubický kraj"
Běstvina,Chrudim,"Pardubický kraj"
"Bezděčí u Trnávky",Svitavy,"Pardubický kraj"
Bezdědovice,Strakonice,"Jihočeský kraj"
Bezděkov,"Havlíčkův Brod",Vysočina
Bezděkov,Klatovy,"Plzeňský kraj"
"Bezděkov nad Metují",Náchod,"Královéhradecký kraj"
Bezděkov,Pardubice,"Pardubický kraj"
"Bezděkov pod Třemšínem",Příbram,"Středočeský kraj"
Bezděkov,Rokycany,"Plzeňský kraj"
Bezděz,"Česká Lípa","Liberecký kraj"
Bezdružice,Tachov,"Plzeňský kraj"
Bezkov,Znojmo,"Jihomoravský kraj"
Bezměrov,Kroměříž,"Zlínský kraj"
Bezno,"Mladá Boleslav","Středočeský kraj"
Bezuchov,Přerov,"Olomoucký kraj"
Bezvěrov,Plzeň-sever,"Plzeňský kraj"
Bílá,Frýdek-Místek,"Moravskoslezský kraj"
"Bílá Hlína","Mladá Boleslav","Středočeský kraj"
"Bílá Lhota",Olomouc,"Olomoucký kraj"
Bílá,Liberec,"Liberecký kraj"
"Bílá Třemešná",Trutnov,"Královéhradecký kraj"
"Bílá Voda",Jeseník,"Olomoucký kraj"
Bílčice,Bruntál,"Moravskoslezský kraj"
Bílence,Chomutov,"Ústecký kraj"
"Bílé Podolí","Kutná Hora","Středočeský kraj"
"Bílé Poličany",Trutnov,"Královéhradecký kraj"
Bílichov,Kladno,"Středočeský kraj"
Bílina,Teplice,"Ústecký kraj"
Bílkovice,Benešov,"Středočeský kraj"
Bílovec,"Nový Jičín","Moravskoslezský kraj"
Bílovice-Lutotín,Prostějov,"Olomoucký kraj"
"Bílovice nad Svitavou",Brno-venkov,"Jihomoravský kraj"
Bílovice,"Uherské Hradiště","Zlínský kraj"
Bílov,"Nový Jičín","Moravskoslezský kraj"
Bílov,Plzeň-sever,"Plzeňský kraj"
Bílsko,Olomouc,"Olomoucký kraj"
Bílsko,Strakonice,"Jihočeský kraj"
"Bílsko u Hořic",Jičín,"Královéhradecký kraj"
"Bílý Kámen",Jihlava,Vysočina
"Bílý Kostel nad Nisou",Liberec,"Liberecký kraj"
"Bílý Potok",Liberec,"Liberecký kraj"
"Bílý Újezd","Rychnov nad Kněžnou","Královéhradecký kraj"
Biřkov,Klatovy,"Plzeňský kraj"
Biskoupky,Brno-venkov,"Jihomoravský kraj"
Biskupice,Chrudim,"Pardubický kraj"
Biskupice,Prostějov,"Olomoucký kraj"
Biskupice-Pulkov,Třebíč,Vysočina
Biskupice,Svitavy,"Pardubický kraj"
Biskupice,Zlín,"Zlínský kraj"
Bítouchov,"Mladá Boleslav","Středočeský kraj"
Bítovany,Chrudim,"Pardubický kraj"
Bítovčice,Jihlava,Vysočina
Bítov,"Nový Jičín","Moravskoslezský kraj"
Bítov,Znojmo,"Jihomoravský kraj"
Bitozeves,Louny,"Ústecký kraj"
Blanné,Znojmo,"Jihomoravský kraj"
Blansko,Blansko,"Jihomoravský kraj"
Blatce,"Česká Lípa","Liberecký kraj"
Blatec,Olomouc,"Olomoucký kraj"
Blatná,Strakonice,"Jihočeský kraj"
Blatnice,Plzeň-sever,"Plzeňský kraj"
"Blatnice pod sv. Antonínkem",Hodonín,"Jihomoravský kraj"
Blatnice,Třebíč,Vysočina
Blatnička,Hodonín,"Jihomoravský kraj"
Blatno,Chomutov,"Ústecký kraj"
Blatno,Louny,"Ústecký kraj"
Blažejovice,Benešov,"Středočeský kraj"
Blažejov,"Jindřichův Hradec","Jihočeský kraj"
Blazice,Kroměříž,"Zlínský kraj"
Blažim,Louny,"Ústecký kraj"
Blažim,Plzeň-sever,"Plzeňský kraj"
Blažkov,"Žďár nad Sázavou",Vysočina
Blažovice,Brno-venkov,"Jihomoravský kraj"
Blešno,"Hradec Králové","Královéhradecký kraj"
Blevice,Kladno,"Středočeský kraj"
Blížejov,Domažlice,"Plzeňský kraj"
Blíževedly,"Česká Lípa","Liberecký kraj"
Blížkovice,Znojmo,"Jihomoravský kraj"
Blízkov,"Žďár nad Sázavou",Vysočina
Blovice,Plzeň-jih,"Plzeňský kraj"
Blšany,Louny,"Ústecký kraj"
"Blšany u Loun",Louny,"Ústecký kraj"
Blučina,Brno-venkov,"Jihomoravský kraj"
Bludov,"Kutná Hora","Středočeský kraj"
Bludov,Šumperk,"Olomoucký kraj"
Bobnice,Nymburk,"Středočeský kraj"
Bobrová,"Žďár nad Sázavou",Vysočina
Bobrůvka,"Žďár nad Sázavou",Vysočina
Bocanovice,Frýdek-Místek,"Moravskoslezský kraj"
Bochoř,Přerov,"Olomoucký kraj"
Bochovice,Třebíč,Vysočina
Bochov,"Karlovy Vary","Karlovarský kraj"
Boháňka,Jičín,"Královéhradecký kraj"
Boharyně,"Hradec Králové","Královéhradecký kraj"
"Bohaté Málkovice",Vyškov,"Jihomoravský kraj"
Bohatice,"Česká Lípa","Liberecký kraj"
Bohdalec,"Žďár nad Sázavou",Vysočina
Bohdalice-Pavlovice,Vyškov,"Jihomoravský kraj"
Bohdalín,Pelhřimov,Vysočina
Bohdalov,"Žďár nad Sázavou",Vysočina
Bohdaneč,"Kutná Hora","Středočeský kraj"
Bohdašín,"Rychnov nad Kněžnou","Královéhradecký kraj"
Bohdíkov,Šumperk,"Olomoucký kraj"
Bohostice,Příbram,"Středočeský kraj"
Bohumilice,Prachatice,"Jihočeský kraj"
Bohumín,Karviná,"Moravskoslezský kraj"
Bohunice,Prachatice,"Jihočeský kraj"
Bohuňovice,Olomouc,"Olomoucký kraj"
Bohuňovice,Svitavy,"Pardubický kraj"
Bohuňov,Svitavy,"Pardubický kraj"
Bohuňov,"Žďár nad Sázavou",Vysočina
Bohušice,Třebíč,Vysočina
Bohuslavice,Jihlava,Vysočina
Bohuslavice,Náchod,"Královéhradecký kraj"
"Bohuslavice nad Vláří",Zlín,"Zlínský kraj"
Bohuslavice,Opava,"Moravskoslezský kraj"
Bohuslavice,Prostějov,"Olomoucký kraj"
Bohuslavice,Šumperk,"Olomoucký kraj"
"Bohuslavice u Zlína",Zlín,"Zlínský kraj"
Bohuslávky,Přerov,"Olomoucký kraj"
Bohušov,Bruntál,"Moravskoslezský kraj"
"Bohušovice nad Ohří",Litoměřice,"Ústecký kraj"
Bohutice,Znojmo,"Jihomoravský kraj"
Bohutín,Příbram,"Středočeský kraj"
Bohutín,Šumperk,"Olomoucký kraj"
Bohy,Plzeň-sever,"Plzeňský kraj"
Bojanov,Chrudim,"Pardubický kraj"
Bojanovice,Praha-západ,"Středočeský kraj"
Bojanovice,Znojmo,"Jihomoravský kraj"
Bojiště,"Havlíčkův Brod",Vysočina
Bojkovice,"Uherské Hradiště","Zlínský kraj"
Bolatice,Opava,"Moravskoslezský kraj"
Boleboř,Chomutov,"Ústecký kraj"
Bolehošť,"Rychnov nad Kněžnou","Královéhradecký kraj"
Boleradice,Břeclav,"Jihomoravský kraj"
Bolešiny,Klatovy,"Plzeňský kraj"
Boletice,"Český Krumlov","Jihočeský kraj"
Bolkov,Plzeň-jih,"Plzeňský kraj"
Boňkov,"Havlíčkův Brod",Vysočina
Borač,Brno-venkov,"Jihomoravský kraj"
Bořanovice,Praha-východ,"Středočeský kraj"
Bordovice,"Nový Jičín","Moravskoslezský kraj"
Boreč,"Mladá Boleslav","Středočeský kraj"
Borek,"České Budějovice","Jihočeský kraj"
Borek,"Havlíčkův Brod",Vysočina
Borek,Jičín,"Královéhradecký kraj"
Borek,Pardubice,"Pardubický kraj"
Borek,Praha-východ,"Středočeský kraj"
Bořenovice,Kroměříž,"Zlínský kraj"
Bořetice,Břeclav,"Jihomoravský kraj"
Bořetice,Pelhřimov,Vysočina
Bořetín,"Jindřichův Hradec","Jihočeský kraj"
Bořetín,Pelhřimov,Vysočina
Bořice,Chrudim,"Pardubický kraj"
Bořislav,Teplice,"Ústecký kraj"
Bořitov,Blansko,"Jihomoravský kraj"
Borkovany,Břeclav,"Jihomoravský kraj"
Borkovice,Tábor,"Jihočeský kraj"
Borohrádek,"Rychnov nad Kněžnou","Královéhradecký kraj"
Borotice,Příbram,"Středočeský kraj"
Borotice,Znojmo,"Jihomoravský kraj"
Borotín,Blansko,"Jihomoravský kraj"
Borotín,Tábor,"Jihočeský kraj"
"Borová Lada",Prachatice,"Jihočeský kraj"
Borová,Náchod,"Královéhradecký kraj"
Borovany,"České Budějovice","Jihočeský kraj"
Borovany,Písek,"Jihočeský kraj"
Borová,Svitavy,"Pardubický kraj"
Borovná,Jihlava,Vysočina
Borovnice,Benešov,"Středočeský kraj"
Borovnice,"České Budějovice","Jihočeský kraj"
Borovnice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Borovnice,Trutnov,"Královéhradecký kraj"
Borovnice,"Žďár nad Sázavou",Vysočina
Borovnička,Trutnov,"Královéhradecký kraj"
Borovník,Brno-venkov,"Jihomoravský kraj"
Borovno,Plzeň-jih,"Plzeňský kraj"
Borovy,Plzeň-jih,"Plzeňský kraj"
"Boršice u Blatnice","Uherské Hradiště","Zlínský kraj"
Boršice,"Uherské Hradiště","Zlínský kraj"
Boršov,Jihlava,Vysočina
"Boršov nad Vltavou","České Budějovice","Jihočeský kraj"
Bor,Tachov,"Plzeňský kraj"
"Bor u Skutče",Chrudim,"Pardubický kraj"
Borušov,Svitavy,"Pardubický kraj"
Bory,"Žďár nad Sázavou",Vysočina
Boseň,"Mladá Boleslav","Středočeský kraj"
Bošice,Prachatice,"Jihočeský kraj"
Bošilec,"České Budějovice","Jihočeský kraj"
Bošín,"Ústí nad Orlicí","Pardubický kraj"
Boskovice,Blansko,"Jihomoravský kraj"
Boskovštejn,Znojmo,"Jihomoravský kraj"
Bošovice,Vyškov,"Jihomoravský kraj"
Boudy,Písek,"Jihočeský kraj"
Bousín,Prostějov,"Olomoucký kraj"
Bousov,Chrudim,"Pardubický kraj"
Bouzov,Olomouc,"Olomoucký kraj"
Božanov,Náchod,"Královéhradecký kraj"
Božejov,Pelhřimov,Vysočina
Božetice,Písek,"Jihočeský kraj"
Božičany,"Karlovy Vary","Karlovarský kraj"
Božice,Znojmo,"Jihomoravský kraj"
"Boží Dar","Karlovy Vary","Karlovarský kraj"
Bozkov,Semily,"Liberecký kraj"
Bradáčov,Tábor,"Jihočeský kraj"
Brada-Rybníček,Jičín,"Královéhradecký kraj"
"Bradlecká Lhota",Semily,"Liberecký kraj"
Bradlec,"Mladá Boleslav","Středočeský kraj"
Brambory,"Kutná Hora","Středočeský kraj"
Braňany,Most,"Ústecký kraj"
Brandov,Most,"Ústecký kraj"
Brandýsek,Kladno,"Středočeský kraj"
"Brandýs nad Labem-Stará Boleslav",Praha-východ,"Středočeský kraj"
"Brandýs nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
Branice,Písek,"Jihočeský kraj"
Braníškov,Brno-venkov,"Jihomoravský kraj"
Branišov,"České Budějovice","Jihočeský kraj"
Branišovice,Brno-venkov,"Jihomoravský kraj"
"Branka u Opavy",Opava,"Moravskoslezský kraj"
Brankovice,Vyškov,"Jihomoravský kraj"
Branky,Vsetín,"Zlínský kraj"
Branná,Šumperk,"Olomoucký kraj"
Branov,Rakovník,"Středočeský kraj"
Bransouze,Třebíč,Vysočina
Brantice,Bruntál,"Moravskoslezský kraj"
Branžež,"Mladá Boleslav","Středočeský kraj"
Braškov,Kladno,"Středočeský kraj"
Břasy,Rokycany,"Plzeňský kraj"
Bratčice,Brno-venkov,"Jihomoravský kraj"
Bratčice,"Kutná Hora","Středočeský kraj"
Bratkovice,Příbram,"Středočeský kraj"
Bratřejov,Zlín,"Zlínský kraj"
Bratřice,Pelhřimov,Vysočina
Bratříkovice,Opava,"Moravskoslezský kraj"
Bratřínov,Praha-západ,"Středočeský kraj"
Bratronice,Kladno,"Středočeský kraj"
Bratronice,Strakonice,"Jihočeský kraj"
Bratrušov,Šumperk,"Olomoucký kraj"
Bravantice,"Nový Jičín","Moravskoslezský kraj"
Brázdim,Praha-východ,"Středočeský kraj"
Brdy,Příbram,"Středočeský kraj"
Břeclav,Břeclav,"Jihomoravský kraj"
Břehov,"České Budějovice","Jihočeský kraj"
Břehy,Pardubice,"Pardubický kraj"
Břestek,"Uherské Hradiště","Zlínský kraj"
Břest,Kroměříž,"Zlínský kraj"
Břevnice,"Havlíčkův Brod",Vysočina
"Břežany II",Kolín,"Středočeský kraj"
"Břežany I",Kolín,"Středočeský kraj"
Břežany,Klatovy,"Plzeňský kraj"
Břežany,Rakovník,"Středočeský kraj"
Břežany,Znojmo,"Jihomoravský kraj"
Březejc,"Žďár nad Sázavou",Vysočina
Březí,Břeclav,"Jihomoravský kraj"
Březina,Brno-venkov,"Jihomoravský kraj"
"Březí nad Oslavou","Žďár nad Sázavou",Vysočina
Březina,Jičín,"Královéhradecký kraj"
Březina,"Jindřichův Hradec","Jihočeský kraj"
Březina,"Mladá Boleslav","Středočeský kraj"
Březina,Rokycany,"Plzeňský kraj"
Březina,Svitavy,"Pardubický kraj"
Březina,Vyškov,"Jihomoravský kraj"
Březinky,Svitavy,"Pardubický kraj"
Březiny,Svitavy,"Pardubický kraj"
Březí,Praha-východ,"Středočeský kraj"
Březí,Strakonice,"Jihočeský kraj"
Březí,"Žďár nad Sázavou",Vysočina
Březnice,Příbram,"Středočeský kraj"
Březnice,Tábor,"Jihočeský kraj"
Březnice,Zlín,"Zlínský kraj"
Březník,Třebíč,Vysočina
Březno,Chomutov,"Ústecký kraj"
Březno,"Mladá Boleslav","Středočeský kraj"
Březolupy,"Uherské Hradiště","Zlínský kraj"
Březová,Beroun,"Středočeský kraj"
Březová,"Karlovy Vary","Karlovarský kraj"
"Březová nad Svitavou",Svitavy,"Pardubický kraj"
Březová-Oleško,Praha-západ,"Středočeský kraj"
Březová,Opava,"Moravskoslezský kraj"
Březová,Sokolov,"Karlovarský kraj"
Březová,"Uherské Hradiště","Zlínský kraj"
Březová,Zlín,"Zlínský kraj"
Březovice,"Mladá Boleslav","Středočeský kraj"
Březské,"Žďár nad Sázavou",Vysočina
Březsko,Prostějov,"Olomoucký kraj"
Březůvky,Zlín,"Zlínský kraj"
Břidličná,Bruntál,"Moravskoslezský kraj"
Bříšťany,Jičín,"Královéhradecký kraj"
Bříství,Nymburk,"Středočeský kraj"
Bříza,Litoměřice,"Ústecký kraj"
Brloh,"Český Krumlov","Jihočeský kraj"
Brloh,Pardubice,"Pardubický kraj"
Brňany,Litoměřice,"Ústecký kraj"
Brněnec,Svitavy,"Pardubický kraj"
Brníčko,Šumperk,"Olomoucký kraj"
Brnířov,Domažlice,"Plzeňský kraj"
Brniště,"Česká Lípa","Liberecký kraj"
Brno,Brno-město,"Jihomoravský kraj"
Brodce,"Mladá Boleslav","Středočeský kraj"
Brodec,Louny,"Ústecký kraj"
"Brodek u Konice",Prostějov,"Olomoucký kraj"
"Brodek u Přerova",Přerov,"Olomoucký kraj"
"Brodek u Prostějova",Prostějov,"Olomoucký kraj"
Brodeslavy,Plzeň-sever,"Plzeňský kraj"
"Brod nad Dyjí",Břeclav,"Jihomoravský kraj"
"Brod nad Tichou",Tachov,"Plzeňský kraj"
Broumov,Náchod,"Královéhradecký kraj"
Broumov,Tachov,"Plzeňský kraj"
Broumy,Beroun,"Středočeský kraj"
"Brozany nad Ohří",Litoměřice,"Ústecký kraj"
Brtnice,Jihlava,Vysočina
Brtnička,Jihlava,Vysočina
Brťov-Jeneč,Blansko,"Jihomoravský kraj"
Brumov,Brno-venkov,"Jihomoravský kraj"
Brumov-Bylnice,Zlín,"Zlínský kraj"
Brumovice,Břeclav,"Jihomoravský kraj"
Brumovice,Opava,"Moravskoslezský kraj"
Bruntál,Bruntál,"Moravskoslezský kraj"
Brusné,Kroměříž,"Zlínský kraj"
Brušperk,Frýdek-Místek,"Moravskoslezský kraj"
Bruzovice,Frýdek-Místek,"Moravskoslezský kraj"
Břvany,Louny,"Ústecký kraj"
Brzánky,Litoměřice,"Ústecký kraj"
Brzice,Náchod,"Královéhradecký kraj"
Brzkov,Jihlava,Vysočina
Bublava,Sokolov,"Karlovarský kraj"
Bubovice,Beroun,"Středočeský kraj"
Buchlovice,"Uherské Hradiště","Zlínský kraj"
Bučina,"Ústí nad Orlicí","Pardubický kraj"
Bučí,Plzeň-sever,"Plzeňský kraj"
Bučovice,Vyškov,"Jihomoravský kraj"
Budčeves,Jičín,"Královéhradecký kraj"
Budeč,"Jindřichův Hradec","Jihočeský kraj"
Budeč,"Žďár nad Sázavou",Vysočina
Budětice,Klatovy,"Plzeňský kraj"
Budětsko,Prostějov,"Olomoucký kraj"
Budíkov,Pelhřimov,Vysočina
Budiměřice,Nymburk,"Středočeský kraj"
Budíškovice,"Jindřichův Hradec","Jihočeský kraj"
Budislav,Svitavy,"Pardubický kraj"
Budislav,Tábor,"Jihočeský kraj"
Budišovice,Opava,"Moravskoslezský kraj"
"Budišov nad Budišovkou",Opava,"Moravskoslezský kraj"
Budišov,Třebíč,Vysočina
Budkov,Prachatice,"Jihočeský kraj"
Budkov,Třebíč,Vysočina
"Budyně nad Ohří",Litoměřice,"Ústecký kraj"
Budyně,Strakonice,"Jihočeský kraj"
Bujanov,"Český Krumlov","Jihočeský kraj"
Bujesily,Rokycany,"Plzeňský kraj"
Bukovany,Benešov,"Středočeský kraj"
Bukovany,Hodonín,"Jihomoravský kraj"
Bukovany,Olomouc,"Olomoucký kraj"
Bukovany,Příbram,"Středočeský kraj"
Bukovany,Sokolov,"Karlovarský kraj"
Buková,Plzeň-jih,"Plzeňský kraj"
Buková,Prostějov,"Olomoucký kraj"
"Buková u Příbramě",Příbram,"Středočeský kraj"
Bukovec,Domažlice,"Plzeňský kraj"
Bukovec,Frýdek-Místek,"Moravskoslezský kraj"
Bukovice,Brno-venkov,"Jihomoravský kraj"
Bukovice,Náchod,"Královéhradecký kraj"
Bukovina,Blansko,"Jihomoravský kraj"
"Bukovina nad Labem",Pardubice,"Pardubický kraj"
"Bukovina u Čisté",Semily,"Liberecký kraj"
"Bukovina u Přelouče",Pardubice,"Pardubický kraj"
Bukovinka,Blansko,"Jihomoravský kraj"
Bukovka,Pardubice,"Pardubický kraj"
Bukovník,Klatovy,"Plzeňský kraj"
Bukovno,"Mladá Boleslav","Středočeský kraj"
Bukov,"Žďár nad Sázavou",Vysočina
Buk,Prachatice,"Jihočeský kraj"
Buk,Přerov,"Olomoucký kraj"
Bukvice,Jičín,"Královéhradecký kraj"
Bulhary,Břeclav,"Jihomoravský kraj"
Bulovka,Liberec,"Liberecký kraj"
Buřenice,Pelhřimov,Vysočina
Bušanovice,Prachatice,"Jihočeský kraj"
Bušín,Šumperk,"Olomoucký kraj"
Bušovice,Rokycany,"Plzeňský kraj"
Buš,Praha-západ,"Středočeský kraj"
Buštěhrad,Kladno,"Středočeský kraj"
Butoves,Jičín,"Královéhradecký kraj"
Buzice,Strakonice,"Jihočeský kraj"
Býchory,Kolín,"Středočeský kraj"
Býčkovice,Litoměřice,"Ústecký kraj"
Býkev,Mělník,"Středočeský kraj"
Bykoš,Beroun,"Středočeský kraj"
Býkovice,Blansko,"Jihomoravský kraj"
Býkov-Láryšov,Bruntál,"Moravskoslezský kraj"
Bylany,Chrudim,"Pardubický kraj"
Bynovec,Děčín,"Ústecký kraj"
Byšice,Mělník,"Středočeský kraj"
Býškovice,Přerov,"Olomoucký kraj"
Býšovec,"Žďár nad Sázavou",Vysočina
Býšť,Pardubice,"Pardubický kraj"
"Bystrá nad Jizerou",Semily,"Liberecký kraj"
Bystřany,Teplice,"Ústecký kraj"
Bystrá,Pelhřimov,Vysočina
Bystřec,"Ústí nad Orlicí","Pardubický kraj"
Bystré,"Rychnov nad Kněžnou","Královéhradecký kraj"
Bystré,Svitavy,"Pardubický kraj"
Bystřice,Benešov,"Středočeský kraj"
Bystřice,Frýdek-Místek,"Moravskoslezský kraj"
Bystřice,Jičín,"Královéhradecký kraj"
"Bystřice nad Pernštejnem","Žďár nad Sázavou",Vysočina
"Bystřice pod Hostýnem",Kroměříž,"Zlínský kraj"
"Bystřice pod Lopeníkem","Uherské Hradiště","Zlínský kraj"
Bystřička,Vsetín,"Zlínský kraj"
Bystročice,Olomouc,"Olomoucký kraj"
Bystrovany,Olomouc,"Olomoucký kraj"
Byzhradec,"Rychnov nad Kněžnou","Královéhradecký kraj"
Bžany,Teplice,"Ústecký kraj"
Bzenec,Hodonín,"Jihomoravský kraj"
Bzová,Beroun,"Středočeský kraj"
Čachotín,"Havlíčkův Brod",Vysočina
Čachovice,"Mladá Boleslav","Středočeský kraj"
Čachrov,Klatovy,"Plzeňský kraj"
Čaková,Bruntál,"Moravskoslezský kraj"
Čakov,Benešov,"Středočeský kraj"
Čakov,"České Budějovice","Jihočeský kraj"
Čakovičky,Mělník,"Středočeský kraj"
Čankovice,Chrudim,"Pardubický kraj"
Čáslavice,Třebíč,Vysočina
Čáslav,"Kutná Hora","Středočeský kraj"
Čáslavsko,Pelhřimov,Vysočina
Částkov,Tachov,"Plzeňský kraj"
Částkov,"Uherské Hradiště","Zlínský kraj"
Častohostice,Třebíč,Vysočina
Častolovice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Častrov,Pelhřimov,Vysočina
Časy,Pardubice,"Pardubický kraj"
Čavisov,Ostrava-město,"Moravskoslezský kraj"
Čebín,Brno-venkov,"Jihomoravský kraj"
Cebiv,Tachov,"Plzeňský kraj"
Čečelice,Mělník,"Středočeský kraj"
Čečelovice,Strakonice,"Jihočeský kraj"
Čechočovice,Třebíč,Vysočina
Čechtice,Benešov,"Středočeský kraj"
Čechtín,Třebíč,Vysočina
"Čechy pod Kosířem",Prostějov,"Olomoucký kraj"
Čechy,Přerov,"Olomoucký kraj"
Čečkovice,"Havlíčkův Brod",Vysočina
Čečovice,Domažlice,"Plzeňský kraj"
Cehnice,Strakonice,"Jihočeský kraj"
